"Level","Topic","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Advanced","Algorithms","In C, what is the output?
int n = 4;
int dp[5];
dp[0] = 1;
for(int i = 1; i <= n; i++) { dp[i] = 0;
    for(int j = 0; j < i; j++) dp[i] += dp[j] * dp[i-j-1];
}
printf(""%d"", dp[n]);","0","14","21","8","B","Catalan number for n = 4: dp[4] = 14 (number of BSTs). Output: 14.","TRUE"
"Advanced","Algorithms","What is the time complexity of the Hungarian algorithm for bipartite matching with n vertices?","O(n³)","O(n²)","O(1)","O(n log n)","A","Maximum flow approach: O(n³).","TRUE"
"Advanced","Algorithms","In Python, what is the output?
def count_inversions(arr): def merge_and_count(l, r): inv = 0;
res = [];
i = j = 0;
while i < len(l) and j < len(r): if l[i] <= r[j]: res.append(l[i]);
i += 1;
else: res.append(r[j]);
inv += len(l)-i;
j += 1;
res.extend(l[i:]);
res.extend(r[j:]);
return res, inv;
def sort_and_count(arr): if len(arr) <= 1: return arr, 0;
mid = len(arr)//2;
l, inv_l = sort_and_count(arr[:mid]);
r, inv_r = sort_and_count(arr[mid:]);
merged, inv_m = merge_and_count(l, r);
return merged, inv_l + inv_r + inv_m;
_, inv = sort_and_count([3, 1, 2]);
print(inv)","2","O(n)","O(n log n)","O(1)","A","Inversions in [3, 1, 2]: (3, 1), (3, 2). Count: 2. Output: 2.","TRUE"
"Advanced","Algorithms","What is the time complexity of finding the k-th smallest element in two sorted arrays of sizes m and n?","O(n)","O(log(min(m, n)))","O(m + n)","O(n^2)","B","Binary search on partitions: O(log(min(m, n))).","TRUE"
"Advanced","Algorithms","In C++, what is the output?
int n = 3;
vector<int> dp(n+1);
dp[0] = 1;
for(int i = 1; i <= n; i++) for(int j = 1; j <= i; j++) dp[i] += dp[i-j];
cout << dp[n];","4","22","6","0","A","Number of ways to sum to n with positive integers: dp[3] = 4 (1+1+1, 1+2, 2+1, 3). Output: 4.","TRUE"
"Advanced","Database Basics","What is the result of this SQL query?
SELECT d.department_name, AVG(e.salary) FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING COUNT(e.id) > 5 ORDER BY AVG(e.salary) DESC;","Department names and average salaries for departments with >5 employees, sorted high to low","Department names and average salaries for departments with <=5 employees, sorted low to high","Department names and average salaries for departments with <5 employees, sorted high to low","Department names and average salaries for all departments, sorted low to high","A","Joins employees and departments, groups by department_name, computes average salary, filters departments with >5 employees, sorts by average salary descending.","TRUE"
"Advanced","Database Basics","What does SELECT c.customer_name, COUNT(o.order_id) FROM customers c LEFT JOIN orders o ON c.id = o.customer_id GROUP BY c.customer_name; do?","Customer names and their order dates","Customer names and their order sums","Customer names and their order counts","Customer names and their average order values","C","Counts orders per customer, including customers with zero orders.","TRUE"
"Advanced","Database Basics","What is the output?
SELECT product_name, price FROM products WHERE price > (SELECT AVG(price) FROM products WHERE category = products.category);","All products with price greater than 0","Products below category average price","Products above category average price","Products with category 'Electronics'","C","Retrieves product_name and price for products priced above their category’s average.","TRUE"
"Advanced","Database Basics","What does CREATE TRIGGER update_stock AFTER INSERT ON orders FOR EACH ROW UPDATE products SET stock = stock - NEW.quantity WHERE id = NEW.product_id; do?","Decreases product stock on order update","Increases product stock on order insertion","Updates product stock on order deletion","Updates product stock on order insertion","D","Automatically reduces stock in products by quantity after an order is inserted.","TRUE"
"Advanced","Database Basics","What is the result?
SELECT e1.name FROM employees e1 WHERE e1.salary > (SELECT AVG(e2.salary) FROM employees e2 WHERE e2.manager_id = e1.id);","Employees earning above their team’s average","Employees with salaries above their manager's salary","Employees earning above their department's average","Employees earning above the company's average","A","Retrieves names of employees with salaries above the average salary of their direct reports.","TRUE"
"Advanced","Database Basics","What does EXPLAIN SELECT * FROM orders WHERE customer_id = 100; do?","EXPLAIN ANALYZE","EXPLAIN INDEX","EXPLAIN PLAN","Shows query plan","D","Provides query execution plan, showing how the database processes the query.","TRUE"
"Advanced","Database Basics","What is the output?
SELECT category, MAX(price) FROM products GROUP BY category UNION SELECT 'Total', MAX(price) FROM products;","Category max prices and overall average price","Category average prices and overall min price","Category sum and overall max price","Category max prices and overall max price","D","Lists maximum price per category, plus overall maximum price labeled as 'Total'.","TRUE"
"Advanced","Database Basics","What does ALTER TABLE employees ADD CONSTRAINT unique_email UNIQUE (email); do?","Ensures data consistency","Creates a primary key","Omits duplicate records","Enforces unique emails","D","Adds a unique constraint to email column, preventing duplicate emails.","TRUE"
"Advanced","Database Basics","What is the result?
SELECT name FROM students s WHERE EXISTS (SELECT 1 FROM courses c WHERE c.student_id = s.id AND c.grade = 'A');","Students with A-grade siblings","Students with A-grade courses","Students with A-grade parents","Students with A-grade teachers","B","Retrieves name of students who have at least one course with grade 'A'.","TRUE"
"Advanced","Database Basics","What does CREATE VIEW high_salary AS SELECT name, salary FROM employees WHERE salary > 100000; do?","Creates high_salary stored procedure","Creates high-salary view","Creates high-salary table","Creates employee view","B","Creates a virtual table showing name and salary for employees with salary > 100000.","TRUE"
"Advanced","Computer Networks","What is the purpose of the Transport layer in the OSI model?","Reliable data transfer","Packet routing","Session initiation","Oriented delivery","A","Provides reliable data transfer, flow control, and error correction.","TRUE"
"Advanced","Computer Networks","What is the role of IPSec in network security?","Encryption protocols","Network access control","Secures IP communication","Virtual private networking","C","Provides encryption and authentication for IP packets.","TRUE"
"Advanced","Computer Networks","What is the difference between TCP and SCTP?","TCP: single stream, SCTP: multi-stream","Connection-oriented transport mode","O(n)","Stream control protocol","A","TCP: single stream, reliable; SCTP: multi-stream, supports multi-homing.","TRUE"
"Advanced","Computer Networks","What is the purpose of the DHCP protocol?","Route caching","Automatic Configuration","IP address assignment","Network discovery","C","Dynamically assigns IP addresses to devices on a network.","TRUE"
"Advanced","Computer Networks","What is the role of the TTL field in an IP header?","O(1)","Packet prioritization","Hop count","Prevents routing loops","D","Limits packet lifetime to prevent infinite loops (decremented per hop).","TRUE"
"Advanced","Computer Networks","What is the difference between stateful and stateless firewalls?","Rule-driven","Connection-oriented","Session-based","Stateful: connection-aware, Stateless: rule-based","D","Stateful: tracks connection states; Stateless: filters packets based on rules.","TRUE"
"Advanced","Computer Networks","What is the purpose of the RST flag in TCP?","Connection reset","SYN flag","RUR flag","ACK flag","A","Resets a connection due to errors or invalid segments.","TRUE"
"Advanced","Computer Networks","What is the role of SNMP in network management?","Network monitoring","SNMPv3","SNMP agent","SNMP proxy","A","Simple Network Management Protocol monitors and manages network devices.","TRUE"
"Advanced","Computer Networks","What is the maximum throughput of a network with 100 Mbps bandwidth and 10 ms RTT, assuming TCP with window size 64 KB?","1000 Mbps","51.2 Mbps","O(n log n)","5 Mbps","B","Throughput = Window Size / RTT = (64 * 1024 * 8) / (10 / 1000) = 51.2 Mbps.","TRUE"
"Advanced","Computer Networks","What is the purpose of VLAN tagging in Ethernet networks?","Separates Network Traffic","Provides MAC Address Isolation","Separates VLAN traffic","Supports Quality of Service","C","Adds identifiers to frames to separate traffic on virtual LANs.","TRUE"
"Advanced","Operating Systems","What is the difference between spinlock and semaphore in an OS?","LIFO (Last In First Out) synchronization","Spinlock: busy-wait, Semaphore: blocking","Non-blocking synchronization","Busy-waiting mechanism","B","Spinlock: busy-waits in a loop; Semaphore: blocks threads, supports counting.","TRUE"
"Advanced","Operating Systems","What is the role of the TLB (Translation Lookaside Buffer) in virtual memory?","Speeds address translation","Cache Hierarchy","Page Fault Handler","O(n)","A","Caches recent virtual-to-physical address translations to speed up access.","TRUE"
"Advanced","Operating Systems","What is the Banker’s algorithm used for in an OS?","Deadlock detection","Banker's algorithm implementation","Deadlock avoidance","Resource allocation","C","Prevents deadlock by ensuring safe resource allocation.","TRUE"
"Advanced","Operating Systems","What is the difference between user-level and kernel-level threads?","User-level: OS-controlled,","User-level: hardware-managed","User-level: app-managed, Kernel-level: OS-managed","Kernel-level: CPU-managed,","C","User-level: managed by application, no kernel involvement; Kernel-level: OS-managed, supports parallelism.","TRUE"
"Advanced","Operating Systems","What is the purpose of copy-on-write in memory management?","Omits page faults","Optimizes memory usage","Lazy allocation","Avoids memory fragmentation","B","Delays copying shared memory pages until a write occurs, saving resources.","TRUE"
"Advanced","Operating Systems","What is the role of the inverted page table in an OS?","Page replacement policy","Virtual memory management","Efficient page mapping","O(n)","C","Maps physical pages to virtual pages, reducing memory overhead.","TRUE"
"Advanced","Operating Systems","What is the difference between hard and soft real-time systems?","Non-real time","Real-time critical","Critical","Hard: critical, Soft: non-critical","D","Hard: strict deadlines, failure is critical; Soft: deadlines important but not critical.","TRUE"
"Advanced","Operating Systems","What is the purpose of the monitor in process synchronization?","Synchronization construct","Synchronization variable","O(1)","Lock manager","A","Ensures mutual exclusion and provides condition variables for synchronization.","TRUE"
"Advanced","Operating Systems","What is the role of the I/O scheduler in an OS?","Orienting disk usage","Enhances system responsiveness","Improves CPU I/O","Optimizes disk I/O","D","Optimizes disk access by reordering I/O requests.","TRUE"
"Advanced","Operating Systems","What is the difference between demand paging and prepaging?","Ongoing paging","Demand loading","Prepaging strategy","Demand: on-demand, Prepaging: anticipatory","D","Demand paging: loads pages on demand; Prepaging: loads pages in advance to reduce faults.","TRUE"
"Advanced","AI/ML Foundations","What is the difference between L1 and L2 regularization in ML?","L1: feature selection, L2: overfitting","L1: weight decay, L2: feature extraction","L1: overfitting, L2: dimensionality reduction","L1: sparsity, L2: smoothness","D","L1: adds absolute weights (sparsity); L2: adds squared weights (smoothness).","TRUE"
"Advanced","AI/ML Foundations","What is the purpose of early stopping in neural network training?","Gradient Explosion","Prevents overfitting","Avoids Divergence","Overshooting","B","Halts training when validation performance stops improving to prevent overfitting.","TRUE"
"Advanced","AI/ML Foundations","What is the role of batch normalization in deep learning?","Enhances model interpretability","Stabilizes training","Omits the noise in the data","Improves numerical stability during testing","B","Normalizes layer inputs to stabilize and accelerate training.","TRUE"
"Advanced","AI/ML Foundations","What is the difference between precision and recall in ML evaluation?","Precision: coverage, Recall: accuracy","Precision: accuracy, Recall: coverage","Precision: recall, Recall: precision","Precision: accuracy, Recall: precision","B","Precision: TP/(TP+FP) (accuracy of positive predictions); Recall: TP/(TP+FN) (coverage of actual positives).","TRUE"
"Advanced","AI/ML Foundations","What is the purpose of dropout in neural networks?","Reduces overfitting","Improves generalization","Overspecialization","Regularization penalty","A","Randomly deactivates neurons during training to prevent overfitting.","TRUE"
"Advanced","AI/ML Foundations","What is the difference between CNN and RNN architectures?","Feedforward Network","O(2^n)","Temporal Convolutional Network","CNN: spatial, RNN: sequential","D","CNN: processes spatial data (e.g., images); RNN: processes sequential data (e.g., time series).","TRUE"
"Advanced","AI/ML Foundations","What is the role of the attention mechanism in transformers?","Highlights noisy data points","Omits irrelevant inputs","Focuses on relevant inputs","Filters out contextual cues","C","Weights input elements based on relevance, improving context understanding.","TRUE"
"Advanced","AI/ML Foundations","What is the purpose of the F1 score in ML evaluation?","F2 score","F1 weighted score","Balances precision and recall","Macro precision","C","Harmonic mean of precision and recall, balances both metrics.","TRUE"
"Advanced","AI/ML Foundations","What is the difference between generative and discriminative models in ML?","Generative: conditional","Generative: marginal","Generative: joint, Discriminative: conditional","Discriminative: joint","C","Generative: models joint probability P(x,y); Discriminative: models conditional P(y|x).","TRUE"
"Advanced","AI/ML Foundations","What is the purpose of transfer learning in deep learning?","Leverages pre-trained models","Weighted model initialization","Overfitting reduction","Domain adaptation","A","Uses pre-trained models to improve performance on new tasks with less data.","TRUE"
