"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the total production of Rice over the three years?","500 tons","1650 tons","600 tons","550 tons","B","Total = 500 + 550 + 600 = 1650 tons.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: Which crop had the highest production in 2021?","Wheat had the highest production in 2021 because its increase from 2020 was the largest among the three crops.","Rice","Corn had the highest production in 2021 because it was the only crop to show an increase in production from 2020 to 2021.","The production of Rice in 2021 was actually the lowest among the three crops because it was the only crop to experience a decrease in production from 2022 to 2021.","B","2021: Rice (550), Wheat (420), Corn (320). Highest is Rice.","TRUE","llm"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the average annual production of Wheat?","400 tons","423.33 tons","450 tons","420 tons","B","Total = 400 + 420 + 450 = 1270. Average = 1270 ÷ 3 ≈ 423.33 tons.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the percentage growth in Corn production from 2020 to 2022?","33.34%","16.67%","50%","18.34%","B","Increase = 350 - 300 = 50. % Growth = (50 ÷ 300) × 100 ≈ 16.67%.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the total production of all crops in 2020?","1200 tons","500 tons","400 tons","2,020 tons","A","2020: 500 + 400 + 300 = 1200 tons.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the ratio of Rice to Wheat production in 2022?","The ratio of total production in 2022 (Rice 600 + Wheat 450 + Corn 350) is 1400, and the ratio of Wheat production in 2022 to total production is 450 : 1400, which simplifies to 9 : 28.","Rice production in 2022 was 600 tons, and Wheat production in 2021 was 420 tons, so the ratio of Rice to Wheat production is 600 : 420, which simplifies to 10 : 7.","Rice production in 2020 was 500 tons, and Wheat production in 2022 was 450 tons, so the ratio of Rice to Wheat production is 500 : 450, which simplifies to 50 : 45.","4 : 3","D","Rice (600) : Wheat (450) = 600 : 450 = 4 : 3.","TRUE","llm"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: By how much did Rice production exceed Corn in 2021?","550 tons","320 tons","460 tons","230 tons","D","Rice (550) - Corn (320) = 230 tons.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: Which crop showed the highest percentage growth from 2020 to 2021?","Rice","Wheat showed the highest percentage growth from 2020 to 2021.","The percentage growth in Wheat from 2020 to 2021 is calculated as ((420-400)/400)*100 = 5%.","The percentage growth in Corn from 2020 to 2021 is calculated as ((320-300)/300)*100 = 6.67%, which is higher than Wheat's growth.","A","Rice: (550 - 500) ÷ 500 × 100 = 10%.
Wheat: (420 - 400) ÷ 400 × 100 = 5%.
Corn: (320 - 300) ÷ 300 × 100 ≈ 6.67%.
Highest is Rice.","TRUE","llm"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: What is the combined production of Wheat and Corn in 2022?","800 tons","350 tons","450 tons","1,600 tons","A","Wheat (450) + Corn (350) = 800 tons.","TRUE","mechanical"
"Intermediate","**Bar Graph 1: Annual Production (in tons) of Three Crops (2020–2022)**
- 2020: Rice (500), Wheat (400), Corn (300)
- 2021: Rice (550), Wheat (420), Corn (320)
- 2022: Rice (600), Wheat (450), Corn (350)

Question: Which year had the highest total production?","had the lowest total production with 1200 tons, but 2020 and 2022 also had the highest ratio of wheat to total production in 2020 at 33%.","and 2022 are tied for the highest total production at 1330 tons.","had the highest total production with 1200 tons.","2022","D","2020: 1200. 2021: 550 + 420 + 320 = 1290. 2022: 600 + 450 + 350 = 1400 tons. Highest is 2022.","TRUE","llm"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the total traffic for Site A over the three months?","370,000 visitors","740,000 visitors","333,000 visitors","407,000 visitors","A","Total = 100 + 120 + 150 = 370 (thousand) = 370,000 visitors.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: Which site had higher traffic in March?","Site B had higher traffic in March.","Site A","Site A had lower traffic in March than it did in January.","In March, Site A had a significant drop in traffic compared to the previous month.","B","Mar: A (150), B (100). A is higher.","TRUE","llm"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the average monthly traffic for Site B?","90,000 visitors","81,000 visitors","180,000 visitors","99,000 visitors","A","Total = 80 + 90 + 100 = 270. Average = 270 ÷ 3 = 90 (thousand) = 90,000 visitors.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the percentage growth in Site A’s traffic from Jan to Feb?","20%","18%","22%","40%","A","Increase = 120 - 100 = 20. % Growth = (20 ÷ 100) × 100 = 20%.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the total traffic for both sites in Feb?","420,000 visitors","189,000 visitors","231,000 visitors","210,000 visitors","D","Feb: A (120) + B (90) = 210 (thousand) = 210,000 visitors.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the ratio of Site A to Site B traffic in Mar?","3 : 2","Site A to Site B traffic in Mar is 4 : 5.","Site A to Site B traffic in Mar is 1.5 : 1.","The ratio of Site A to Site B traffic in Mar is 2 : 3.","A","A (150) : B (100) = 150 : 100 = 3 : 2.","TRUE","llm"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: By how much did Site A’s traffic exceed Site B’s in Jan?","20,000 visitors","40,000 visitors","22,000 visitors","18,000 visitors","A","A (100) - B (80) = 20 (thousand) = 20,000 visitors.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: Which site showed higher percentage growth from Jan to Mar?","Site B had the highest growth rate, increasing from 80 to 100.","The percentage growth of Site A is equivalent to a factor of 1.5, which is less than the growth factor of Site B, which is 1.25.","Site A actually had the lowest growth rate, with a percentage increase from 100 to 150.","Site A","D","A: (150 - 100) ÷ 100 × 100 = 50%.
B: (100 - 80) ÷ 80 × 100 = 25%.
A is higher.","TRUE","llm"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: What is the combined traffic of both sites in Jan?","198,000 visitors","360,000 visitors","162,000 visitors","180,000 visitors","D","Jan: A (100) + B (80) = 180 (thousand) = 180,000 visitors.","TRUE","mechanical"
"Intermediate","**Bar Graph 2: Monthly Website Traffic (in thousands) for Two Sites (Jan–Mar)**
- Jan: Site A (100), Site B (80)
- Feb: Site A (120), Site B (90)
- Mar: Site A (150), Site B (100)

Question: Which month had the highest total traffic?","Site B's total traffic in January exceeded that of Site A in March.","March saw a 33% increase in traffic for Site B compared to February.","March","Site A had the highest traffic in February compared to January.","C","Jan: 180. Feb: 210. Mar: 150 + 100 = 250 (thousand). Highest is Mar.","TRUE","llm"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: How many units did Brand A sell?","330 units","100 units","300 units","600 units","C","A = 30% of 1000 = (30 ÷ 100) × 1000 = 300 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: What is the combined market share of Brands B and C?","20%","25%","90%","45%","D","B (25%) + C (20%) = 45%.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: How many more units did Brand A sell than Brand D?","165 units","135 units","300 units","150 units","D","A (30% = 300) - D (15% = 150) = 300 - 150 = 150 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: What is the ratio of Brand C to Brand E units sold?","2 : 1","Brand C units sold are 200, which is 2/3 of the total, so the ratio of Brand C to Brand E units sold is 2 : 1/3.","The ratio of Brand C to Brand E units sold is 1.5 : 1.","The pie chart shows Brand C accounts for 1/5 of the total market, while Brand E accounts for 1/10, so the ratio of Brand C to Brand E units sold is 2 : 5.","A","C (20% = 200) : E (10% = 100) = 200 : 100 = 2 : 1.","TRUE","llm"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: What is the total number of units sold by Brands A, B, and C?","750 units","250 units","300 units","1,500 units","A","A (300) + B (25% = 250) + C (200) = 750 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: Which brand has the smallest market share?","Brand E","The brand with the smallest market share is Brand A, as it accounts for 30% of the total units sold, which is the highest percentage among the given options.","Brand C has the smallest market share of 20% in the given data.","Brand D has the smallest market share, as the data shows 15% for the year 2020.","A","E (10%) is smallest.","TRUE","llm"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: What is the percentage of Brand B’s units relative to total units?","25%","28%","22%","50%","A","B = 25% (given).","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: How many units did Brand D sell?","150 units","135 units","165 units","300 units","A","D = 15% of 1000 = 150 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: What is the difference in units sold between Brands A and E?","300 units","400 units","200 units","100 units","C","A (300) - E (10% = 100) = 200 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 1: Market Share of Five Smartphone Brands (Total: 1000 units)**
- Brand A: 30%
- Brand B: 25%
- Brand C: 20%
- Brand D: 15%
- Brand E: 10%

Question: If Brand A’s sales increased by 10%, how many units would it sell?","300 units","660 units","330 units","363 units","C","A = 300. Increase = 10% of 300 = 30. New sales = 300 + 30 = 330 units.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: How much is spent on Food?","$1750","$3,500","$1,925","$5,000","A","Food = 35% of 5000 = (35 ÷ 100) × 5000 = $1750.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: What is the combined expenditure on Rent and Education?","$2500","$2,750","$2,250","$5,000","A","Rent (30%) + Education (20%) = 50%. 50% of 5000 = $2500.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: How much more is spent on Food than on Transport?","$2,500","$1250","$500","$1,750","B","Food (1750) - Transport (10% = 500) = 1750 - 500 = $1250.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: What is the ratio of Education to Savings expenditure?","Education expenditure was 40% in 2020, making the ratio of Education to Savings 8 : 1.","4 : 1","The ratio of Education to Savings expenditure is 2 : 1.","The ratio of Education to Savings expenditure is 5 : 2.","B","Education (20% = 1000) : Savings (5% = 250) = 1000 : 250 = 4 : 1.","TRUE","llm"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: What is the total expenditure on Food, Rent, and Transport?","$7,500","$1,750","$1,500","$3750","D","Food (1750) + Rent (30% = 1500) + Transport (500) = 1750 + 1500 + 500 = $3750.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: Which category has the least expenditure?","Savings","Savings is less than education, so education must have the least expenditure.","Transport has the least expenditure.","The savings category has the highest percentage of the total expenditure, therefore, it has the least expenditure.","A","Savings (5%) is smallest.","TRUE","llm"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: What percentage of expenditure is on Rent?","33%","30%","27%","60%","B","Rent = 30% (given).","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: How much is spent on Savings?","$500","$225","$275","$250","D","Savings = 5% of 5000 = $250.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: What is the difference between Food and Education expenditure?","$750","$1,000","$1,750","$1,500","A","Food (1750) - Education (20% = 1000) = 1750 - 1000 = $750.","TRUE","mechanical"
"Intermediate","**Pie Chart 2: Expenditure of a Family (Total: $5000)**
- Food: 35%
- Rent: 30%
- Education: 20%
- Transport: 10%
- Savings: 5%

Question: If Transport expenditure increased by 20%, what would be the new amount?","$660","$1,200","$500","$600","D","Transport = 500. Increase = 20% of 500 = 100. New amount = 500 + 100 = $600.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the total sales of P1 over the six months?","1560 units","3,120 units","1,716 units","1,404 units","A","Total = 200 + 220 + 250 + 270 + 300 + 320 = 1560 units.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: Which product had higher sales in April?","In April, the sales of P1 were higher than those of P2 by a factor of 1.35.","P2 had higher sales in May than P1 had in April.","Product P2 outsold P1 in June, and also in January.","P1","D","Apr: P1 (270), P2 (200). P1 is higher.","TRUE","llm"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the average monthly sales of P2?","180 units","150 units","191.67 units","160 units","C","Total = 150 + 160 + 180 + 200 + 220 + 240 = 1150. Average = 1150 ÷ 6 ≈ 191.67 units.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the percentage growth in P1 sales from Feb to Mar?","27.28%","13.64%","30%","15%","B","Increase = 250 - 220 = 30. % Growth = (30 ÷ 220) × 100 ≈ 13.64%.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the total sales of both products in May?","1,040 units","300 units","220 units","520 units","D","May: P1 (300) + P2 (220) = 520 units.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the ratio of P1 to P2 sales in Jun?","Option 1: The ratio of P1 to P2 sales in May is 5 : 4.","Option 3: The ratio of P1 to P2 sales in Feb is 7 : 6.","4 : 3","Option 2: The ratio of P1 to P2 sales in Apr is 9 : 8.","C","P1 (320) : P2 (240) = 320 : 240 = 4 : 3.","TRUE","llm"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: By how many units did P1 sales exceed P2 in Mar?","180 units","140 units","70 units","77 units","C","P1 (250) - P2 (180) = 70 units.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: Which product showed higher percentage growth from Jan to Jun?","Both P1 and P2 showed significant growth over the same time period, but Product P2 grew at a higher percentage rate of 60% compared to P1's 60%.","Both P1 and P2","Product P2 had a higher total sales increase from Jan to Jun, with a growth of 90 units compared to P1's 120 units.","Product P1 showed higher percentage growth from Jan to Jun compared to P2, at a rate of 60% versus 60%.","B","P1: (320 - 200) ÷ 200 × 100 = 60%.
P2: (240 - 150) ÷ 150 × 100 = 60%.
Both are equal.","TRUE","llm"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: What is the combined sales of both products in Jan?","150 units","350 units","200 units","700 units","B","Jan: P1 (200) + P2 (150) = 350 units.","TRUE","mechanical"
"Intermediate","**Line Graph 1: Monthly Sales (in units) of Two Products (Jan–Jun)**
- Jan: P1 (200), P2 (150)
- Feb: P1 (220), P2 (160)
- Mar: P1 (250), P2 (180)
- Apr: P1 (270), P2 (200)
- May: P1 (300), P2 (220)
- Jun: P1 (320), P2 (240)

Question: Which month had the highest total sales?","May had the highest growth rate in sales between the two products, increasing by 20 units more than June.","June had the highest sales of product P1, but the lowest sales of product P2.","June","In January, product P1 had 200 units in sales, which is a lower percentage of total sales compared to June.","C","Jan: 350. Feb: 220 + 160 = 380. Mar: 250 + 180 = 430. Apr: 270 + 200 = 470.
May: 520. Jun: 320 + 240 = 560 units. Highest is Jun.","TRUE","llm"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the total profit in 2023?","$570,000","$313,500","$285,000","$256,500","C","Total = 55 + 65 + 75 + 90 = 285 ($1000) = $285,000.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: Which quarter had the highest profit in 2023?","Q4","Q5","Q3","Q8","A","Q4 (90) is highest.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the average quarterly profit in 2022?","$65,000","$71,500","$130,000","$58,500","A","Total = 50 + 60 + 70 + 80 = 260. Average = 260 ÷ 4 = 65 ($1000) = $65,000.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the percentage growth in profit from Q1 to Q2 in 2023?","18.18%","10%","20%","36.36%","A","Increase = 65 - 55 = 10. % Growth = (10 ÷ 55) × 100 ≈ 18.18%.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the total profit in Q3 across both years?","$290,000","$159,500","$145,000","$130,500","C","2022 (70) + 2023 (75) = 145 ($1000) = $145,000.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the ratio of profit in Q2 (2022) to Q2 (2023)?","The ratio of profit in Q1 (2022) to Q4 (2023) is 50 : 90.","12 : 13","The ratio of profit in Q4 (2022) to Q4 (2023) is 80 : 90.","The ratio of profit in Q1 (2022) to Q1 (2023) is 50 : 55.","B","2022 (60) : 2023 (65) = 60 : 65 = 12 : 13.","TRUE","llm"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: By how much did profit increase from Q4 2022 to Q4 2023?","$11,000","$9,000","$20,000","$10,000","D","2023 (90) - 2022 (80) = 10 ($1000) = $10,000.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: Which year had higher total profit?","2023","'s profit decreased in Q4, which suggests it had a lower total profit than 2022.","'s profit increased by 30 from Q1 to Q4, which is a larger increase than 2023's 25, so 2022 had a higher total profit.","had a higher profit in Q3 than 2023, so it must have had a higher total profit.","A","2022: 260. 2023: 285 ($1000). 2023 is higher.","TRUE","llm"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: What is the combined profit in Q1 and Q2 of 2023?","$240,000","$120,000","$132,000","$108,000","B","Q1 (55) + Q2 (65) = 120 ($1000) = $120,000.","TRUE","mechanical"
"Intermediate","**Line Graph 2: Quarterly Profit ($1000) of a Company (Q1–Q4, 2022–2023)**
- 2022: Q1 (50), Q2 (60), Q3 (70), Q4 (80)
- 2023: Q1 (55), Q2 (65), Q3 (75), Q4 (90)

Question: Which quarter showed the highest percentage growth from 2022 to 2023?","Q8","Q4","Q10","Q2","B","Q1: (55 - 50) ÷ 50 × 100 = 10%.
Q2: (65 - 60) ÷ 60 × 100 ≈ 8.33%.
Q3: (75 - 70) ÷ 70 × 100 ≈ 7.14%.
Q4: (90 - 80) ÷ 80 × 100 = 12.5%.
Highest is Q4.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the revenue from Product X after discount?","$4000","$4,400","$8,000","$3,600","A","Discount = 20% of $10 = $2. Price = $8/unit. Revenue = 500 × 8 = $4000.","TRUE","mechanical"
"Intermediate","**Caselet 1: A Company Sells Three Products**
- Product X: 500 units at $10/unit, 20% discount
- Product Y: 400 units at $15/unit, 10% discount
- Product Z: 300 units at $20/unit, no discount

Question: What is the revenue from Product Y after discount?","$4,860","$5,940","$5400","$10,800","C","Discount = 10% of $15 = $1.5. Price = $13.5/unit. Revenue = 400 × 13.5 = $5400.","TRUE","mechanical"
